url,code
5_orig,"[OP] ROR
[DIFF]  Type.RISC_V == type  =>   Type.RISC_V != type
[SPEC] return, exception, state
[JIMPLE_CHANGES] [p]Update 98-98 : == :: Type.RISC_V == type
[ORIGIN_CODE]
public boolean isRISCV() {
    return Type.RISC_V == type;
}
[ORIGIN_IR]
    public boolean isRISCV()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type RISC_V>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [98-98] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type RISC_V>
 || JIMPLE [98-98] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [98-98] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [98-98] $stack3 = 1
 || JIMPLE [98-98] goto [?= return $stack3]
 || JIMPLE [98-98] $stack3 = 0
 || JIMPLE [98-98] return $stack3
"
5_mut,"[OP] ROR
[DIFF]  Type.RISC_V == type  =>   Type.RISC_V != type
[SPEC] return, exception, state
[JIMPLE_CHANGES] [p]Update 98-98 : == :: Type.RISC_V == type
[MUT_ID] 6
[MUT_CODE]
public boolean isRISCV() {
    return Type.RISC_V != type;
}
[MUT_IR]
    public boolean isRISCV()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type RISC_V>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 == $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[MUT_AFFECTED] JIMPLE [98-98] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type RISC_V>
 || JIMPLE [98-98] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [98-98] if $stack2 == $stack1 goto $stack3 = 0
 || JIMPLE [98-98] $stack3 = 1
 || JIMPLE [98-98] goto [?= return $stack3]
 || JIMPLE [98-98] $stack3 = 0
 || JIMPLE [98-98] return $stack3
"
6_orig,"[OP] ROR
[DIFF]  Type.X86 == type  =>   Type.X86 != type
[SPEC] return, exception, state
[JIMPLE_CHANGES] [p]Update 103-103 : == :: Type.X86 == type
[ORIGIN_CODE]
public boolean isX86() {
    return Type.X86 == type;
}
[ORIGIN_IR]
    public boolean isX86()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type X86>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [103-103] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type X86>
 || JIMPLE [103-103] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [103-103] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [103-103] $stack3 = 1
 || JIMPLE [103-103] goto [?= return $stack3]
 || JIMPLE [103-103] $stack3 = 0
 || JIMPLE [103-103] return $stack3
"
6_mut,"[OP] ROR
[DIFF]  Type.X86 == type  =>   Type.X86 != type
[SPEC] return, exception, state
[JIMPLE_CHANGES] [p]Update 103-103 : == :: Type.X86 == type
[MUT_ID] 7
[MUT_CODE]
public boolean isX86() {
    return Type.X86 != type;
}
[MUT_IR]
    public boolean isX86()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type X86>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 == $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[MUT_AFFECTED] JIMPLE [103-103] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type X86>
 || JIMPLE [103-103] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [103-103] if $stack2 == $stack1 goto $stack3 = 0
 || JIMPLE [103-103] $stack3 = 1
 || JIMPLE [103-103] goto [?= return $stack3]
 || JIMPLE [103-103] $stack3 = 0
 || JIMPLE [103-103] return $stack3
"
7_orig,"[OP] COI
[DIFF]  Arch.BIT_32 == arch  =>  !(Arch.BIT_32 == arch)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 73-73 : ! :: !(Arch.BIT_32 == arch) || [m]Insert 73-73 :  :: (Arch.BIT_32 == arch) || [p]Move 73-73 : == :: Arch.BIT_32 == arch
[ORIGIN_CODE]
public boolean is32Bit() {
    return Arch.BIT_32 == arch;
}
[ORIGIN_IR]
    public boolean is32Bit()
    {
        org.apache.commons.lang3.arch.Processor$Arch $stack1, $stack2;
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Arch: org.apache.commons.lang3.arch.Processor$Arch BIT_32>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Arch arch>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [73-73] $stack2 = <org.apache.commons.lang3.arch.Processor$Arch: org.apache.commons.lang3.arch.Processor$Arch BIT_32>
 || JIMPLE [73-73] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Arch arch>
 || JIMPLE [73-73] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [73-73] $stack3 = 1
 || JIMPLE [73-73] goto [?= return $stack3]
 || JIMPLE [73-73] $stack3 = 0
 || JIMPLE [73-73] return $stack3
"
7_mut,"[OP] COI
[DIFF]  Arch.BIT_32 == arch  =>  !(Arch.BIT_32 == arch)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 73-73 : ! :: !(Arch.BIT_32 == arch) || [m]Insert 73-73 :  :: (Arch.BIT_32 == arch) || [p]Move 73-73 : == :: Arch.BIT_32 == arch
[MUT_ID] 1
[MUT_CODE]
public boolean is32Bit() {
    return !(Arch.BIT_32 == arch);
}
[MUT_IR]
    public boolean is32Bit()
    {
        org.apache.commons.lang3.arch.Processor$Arch $stack1, $stack2;
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Arch: org.apache.commons.lang3.arch.Processor$Arch BIT_32>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Arch arch>;

        if $stack2 == $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[MUT_AFFECTED] JIMPLE [73-73] $stack2 = <org.apache.commons.lang3.arch.Processor$Arch: org.apache.commons.lang3.arch.Processor$Arch BIT_32>
 || JIMPLE [73-73] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Arch arch>
 || JIMPLE [73-73] if $stack2 == $stack1 goto $stack3 = 0
 || JIMPLE [73-73] $stack3 = 1
 || JIMPLE [73-73] goto [?= return $stack3]
 || JIMPLE [73-73] $stack3 = 0
 || JIMPLE [73-73] return $stack3
"
8_orig,"[OP] COI
[DIFF]  Arch.BIT_64 == arch  =>  !(Arch.BIT_64 == arch)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 78-78 : ! :: !(Arch.BIT_64 == arch) || [m]Insert 78-78 :  :: (Arch.BIT_64 == arch) || [p]Move 78-78 : == :: Arch.BIT_64 == arch
[ORIGIN_CODE]
public boolean is64Bit() {
    return Arch.BIT_64 == arch;
}
[ORIGIN_IR]
    public boolean is64Bit()
    {
        org.apache.commons.lang3.arch.Processor$Arch $stack1, $stack2;
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Arch: org.apache.commons.lang3.arch.Processor$Arch BIT_64>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Arch arch>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [78-78] $stack2 = <org.apache.commons.lang3.arch.Processor$Arch: org.apache.commons.lang3.arch.Processor$Arch BIT_64>
 || JIMPLE [78-78] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Arch arch>
 || JIMPLE [78-78] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [78-78] $stack3 = 1
 || JIMPLE [78-78] goto [?= return $stack3]
 || JIMPLE [78-78] $stack3 = 0
 || JIMPLE [78-78] return $stack3
"
8_mut,"[OP] COI
[DIFF]  Arch.BIT_64 == arch  =>  !(Arch.BIT_64 == arch)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 78-78 : ! :: !(Arch.BIT_64 == arch) || [m]Insert 78-78 :  :: (Arch.BIT_64 == arch) || [p]Move 78-78 : == :: Arch.BIT_64 == arch
[MUT_ID] 2
[MUT_CODE]
public boolean is64Bit() {
    return !(Arch.BIT_64 == arch);
}
[MUT_IR]
    public boolean is64Bit()
    {
        org.apache.commons.lang3.arch.Processor$Arch $stack1, $stack2;
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Arch: org.apache.commons.lang3.arch.Processor$Arch BIT_64>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Arch arch>;

        if $stack2 == $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[MUT_AFFECTED] JIMPLE [78-78] $stack2 = <org.apache.commons.lang3.arch.Processor$Arch: org.apache.commons.lang3.arch.Processor$Arch BIT_64>
 || JIMPLE [78-78] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Arch arch>
 || JIMPLE [78-78] if $stack2 == $stack1 goto $stack3 = 0
 || JIMPLE [78-78] $stack3 = 1
 || JIMPLE [78-78] goto [?= return $stack3]
 || JIMPLE [78-78] $stack3 = 0
 || JIMPLE [78-78] return $stack3
"
9_orig,"[OP] COI
[DIFF]  Type.AARCH_64 == type  =>  !(Type.AARCH_64 == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 83-83 : ! :: !(Type.AARCH_64 == type) || [m]Insert 83-83 :  :: (Type.AARCH_64 == type) || [p]Move 83-83 : == :: Type.AARCH_64 == type
[ORIGIN_CODE]
public boolean isAarch64() {
    return Type.AARCH_64 == type;
}
[ORIGIN_IR]
    public boolean isAarch64()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type AARCH_64>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [83-83] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type AARCH_64>
 || JIMPLE [83-83] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [83-83] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [83-83] $stack3 = 1
 || JIMPLE [83-83] goto [?= return $stack3]
 || JIMPLE [83-83] $stack3 = 0
 || JIMPLE [83-83] return $stack3
"
9_mut,"[OP] COI
[DIFF]  Type.AARCH_64 == type  =>  !(Type.AARCH_64 == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 83-83 : ! :: !(Type.AARCH_64 == type) || [m]Insert 83-83 :  :: (Type.AARCH_64 == type) || [p]Move 83-83 : == :: Type.AARCH_64 == type
[MUT_ID] 3
[MUT_CODE]
public boolean isAarch64() {
    return !(Type.AARCH_64 == type);
}
[MUT_IR]
    public boolean isAarch64()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type AARCH_64>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 == $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[MUT_AFFECTED] JIMPLE [83-83] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type AARCH_64>
 || JIMPLE [83-83] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [83-83] if $stack2 == $stack1 goto $stack3 = 0
 || JIMPLE [83-83] $stack3 = 1
 || JIMPLE [83-83] goto [?= return $stack3]
 || JIMPLE [83-83] $stack3 = 0
 || JIMPLE [83-83] return $stack3
"
10_orig,"[OP] COI
[DIFF]  Type.IA_64 == type  =>  !(Type.IA_64 == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 88-88 : ! :: !(Type.IA_64 == type) || [m]Insert 88-88 :  :: (Type.IA_64 == type) || [p]Move 88-88 : == :: Type.IA_64 == type
[ORIGIN_CODE]
public boolean isIA64() {
    return Type.IA_64 == type;
}
[ORIGIN_IR]
    public boolean isIA64()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type IA_64>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [88-88] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type IA_64>
 || JIMPLE [88-88] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [88-88] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [88-88] $stack3 = 1
 || JIMPLE [88-88] goto [?= return $stack3]
 || JIMPLE [88-88] $stack3 = 0
 || JIMPLE [88-88] return $stack3
"
10_mut,"[OP] COI
[DIFF]  Type.IA_64 == type  =>  !(Type.IA_64 == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 88-88 : ! :: !(Type.IA_64 == type) || [m]Insert 88-88 :  :: (Type.IA_64 == type) || [p]Move 88-88 : == :: Type.IA_64 == type
[MUT_ID] 4
[MUT_CODE]
public boolean isIA64() {
    return !(Type.IA_64 == type);
}
[MUT_IR]
    public boolean isIA64()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type IA_64>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 == $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[MUT_AFFECTED] JIMPLE [88-88] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type IA_64>
 || JIMPLE [88-88] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [88-88] if $stack2 == $stack1 goto $stack3 = 0
 || JIMPLE [88-88] $stack3 = 1
 || JIMPLE [88-88] goto [?= return $stack3]
 || JIMPLE [88-88] $stack3 = 0
 || JIMPLE [88-88] return $stack3
"
11_orig,"[OP] COI
[DIFF]  Type.PPC == type  =>  !(Type.PPC == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 93-93 : ! :: !(Type.PPC == type) || [m]Insert 93-93 :  :: (Type.PPC == type) || [p]Move 93-93 : == :: Type.PPC == type
[ORIGIN_CODE]
public boolean isPPC() {
    return Type.PPC == type;
}
[ORIGIN_IR]
    public boolean isPPC()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type PPC>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [93-93] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type PPC>
 || JIMPLE [93-93] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [93-93] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [93-93] $stack3 = 1
 || JIMPLE [93-93] goto [?= return $stack3]
 || JIMPLE [93-93] $stack3 = 0
 || JIMPLE [93-93] return $stack3
"
11_mut,"[OP] COI
[DIFF]  Type.PPC == type  =>  !(Type.PPC == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 93-93 : ! :: !(Type.PPC == type) || [m]Insert 93-93 :  :: (Type.PPC == type) || [p]Move 93-93 : == :: Type.PPC == type
[MUT_ID] 5
[MUT_CODE]
public boolean isPPC() {
    return !(Type.PPC == type);
}
[MUT_IR]
    public boolean isPPC()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type PPC>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 == $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[MUT_AFFECTED] JIMPLE [93-93] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type PPC>
 || JIMPLE [93-93] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [93-93] if $stack2 == $stack1 goto $stack3 = 0
 || JIMPLE [93-93] $stack3 = 1
 || JIMPLE [93-93] goto [?= return $stack3]
 || JIMPLE [93-93] $stack3 = 0
 || JIMPLE [93-93] return $stack3
"
12_orig,"[OP] COI
[DIFF]  Type.RISC_V == type  =>  !(Type.RISC_V == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 98-98 : ! :: !(Type.RISC_V == type) || [m]Insert 98-98 :  :: (Type.RISC_V == type) || [p]Move 98-98 : == :: Type.RISC_V == type
[ORIGIN_CODE]
public boolean isRISCV() {
    return Type.RISC_V == type;
}
[ORIGIN_IR]
    public boolean isRISCV()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type RISC_V>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [98-98] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type RISC_V>
 || JIMPLE [98-98] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [98-98] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [98-98] $stack3 = 1
 || JIMPLE [98-98] goto [?= return $stack3]
 || JIMPLE [98-98] $stack3 = 0
 || JIMPLE [98-98] return $stack3
"
12_mut,"[OP] COI
[DIFF]  Type.RISC_V == type  =>  !(Type.RISC_V == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 98-98 : ! :: !(Type.RISC_V == type) || [m]Insert 98-98 :  :: (Type.RISC_V == type) || [p]Move 98-98 : == :: Type.RISC_V == type
[MUT_ID] 6
[MUT_CODE]
public boolean isRISCV() {
    return !(Type.RISC_V == type);
}
[MUT_IR]
    public boolean isRISCV()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type RISC_V>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 == $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[MUT_AFFECTED] JIMPLE [98-98] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type RISC_V>
 || JIMPLE [98-98] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [98-98] if $stack2 == $stack1 goto $stack3 = 0
 || JIMPLE [98-98] $stack3 = 1
 || JIMPLE [98-98] goto [?= return $stack3]
 || JIMPLE [98-98] $stack3 = 0
 || JIMPLE [98-98] return $stack3
"
13_orig,"[OP] COI
[DIFF]  Type.X86 == type  =>  !(Type.X86 == type)
[SPEC] return, exception, state
[JIMPLE_CHANGES] [m]Insert 103-103 : ! :: !(Type.X86 == type) || [m]Insert 103-103 :  :: (Type.X86 == type) || [p]Move 103-103 : == :: Type.X86 == type
[ORIGIN_CODE]
public boolean isX86() {
    return Type.X86 == type;
}
[ORIGIN_IR]
    public boolean isX86()
    {
        Processor l0;
        org.apache.commons.lang3.arch.Processor $r0;
        org.apache.commons.lang3.arch.Processor$Type $stack1, $stack2;
        boolean $stack3;

        l0 := @this: Processor;

        $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type X86>;

        $r0 = (org.apache.commons.lang3.arch.Processor) l0;

        $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>;

        if $stack2 != $stack1 goto label1;

        $stack3 = 1;

        goto label2;

     label1:
        $stack3 = 0;

     label2:
        return $stack3;
    }

[ORIGIN_AFFECTED] JIMPLE [103-103] $stack2 = <org.apache.commons.lang3.arch.Processor$Type: org.apache.commons.lang3.arch.Processor$Type X86>
 || JIMPLE [103-103] $stack1 = $r0.<org.apache.commons.lang3.arch.Processor: org.apache.commons.lang3.arch.Processor$Type type>
 || JIMPLE [103-103] if $stack2 != $stack1 goto $stack3 = 0
 || JIMPLE [103-103] $stack3 = 1
 || JIMPLE [103-103] goto [?= return $stack3]
 || JIMPLE [103-103] $stack3 = 0
 || JIMPLE [103-103] return $stack3
"
